sgrub pa bka' brgyad|huit préceptes transmis (Nyingma)
'dus ma byas|non composé, inconditionné
'dzam bu gling|Jambouling, Notre monde,
 'dzam gling,  dzam gling|Jambouling, Notre monde,
dzam gling|Jambouling, Notre monde,
a nu yo ga|Anuyoga
a ti yo ga|Atiyoga
ba glang spyod|Pourvu de bétail Riche en bétail
bad med|Sans effort,
bad pa|Faire effort, S'efforcer,
bad rtsol|Effort et persévérance, Effort et tentatives
bag chags|Vassana, Propensions, Habitudes, Imprégnations, Prédispositions, Tendances latentes, Empreintes latentes,
bag med|Sans précaution, Inattentif, Négligeant, Insouciant, (Qui ne fait pas attention)
bag nyal|Latent, Latence, Caché, Non evident,
bag la nyal|Latent, Latence, Caché, Non evident,
bag yod|Précautionneux, Attentif, Prudent,
bam|Pourri, Décomposé, Putride
bam po|Volume (livre tibétain, folio enveloppés et liés), Section
bam ro|Cadavre
'bangs|Peuple, Sujets,
'bar ba|Brûler, Flamboyer, Etincellant,
bar bskal|Kalpas intermédiaires,
bar chad|Interruption, Obstacle, Empêchement,
bar do|Bardos, Entre deux, Etats intermédiaires, Transitions,
bar khug bco brgyad|Les dix huit cyles (de croissance et de décroissance de la durée de la vie humaine, de10 ans à 80000 ans et retour à 10, chacun de ces cycles constituant un Kalpa intermédiaire, voir «bar bskal»).
bar ma|Intermédiaire, Intervalle, Milieu, Central,
bar snang|Espace (d'un lieu) Espace intermédiaire, (entre les choses),
bcom ldan 'das|Bhagavan, Le Bienheureux «Le Subjugueur des démons, détenteur des excellentes qualités, transcendant les extrêmes du samsara et du nirvâna».
bcos bslad med pa|Sans fabrication ni altération, Sans artifice ni altération
bcos ma|Fabriqué, artificiel, modifié, traité.
bcos ma min pa|Non fabriqué, non artificiel, non modifié
bcos ma ma yin pa|Non fabriqué, non artificiel, non modifié
bcos min|Non fabriqué, non artificiel, non modifié
ma bcos pa|Non fabriqué, non artificiel, non modifié
bcos pa|Fabrication, artifice Fabriquer, Traiter, modifier
bdag|Atman Soi, moi, ego, Entité, être. Maître,
bdag bskyed|Génération de soi (comme déité)
bdag 'dzin|Saisie d'un soi Saisie d'un ego Saisie égotique, Saisie de soi, Saisie du soi, du moi,
ngar 'dzin|Saisie d'un soi Saisie d'un ego Saisie égotique, Saisie de soi, Saisie du soi, du moi,
bdag med|Non soi, Sans soi. Non ego Sans moi
bdag nyid|"Soi-même; Nature ou essence, Personne,  La personne en soi"
bdag nyid chen po|Mahatma Grand être, Grande nature, Personne authentique, Les Bouddhas (épithète de tout Bouddhas)
bdag po|Maître, Propriétaire,
bdag rkyen|Cause principale Cause efficiente, Cause qui a la capacité de faire apparaître le résultat,
bdag po'i rkyen|Cause principale Cause efficiente, Cause qui a la capacité de faire apparaître le résultat,
bde ba|Félicité, Bonheur, Joie, bien-être, agréable, plaisant,
bde ba can|Déwachen, Domaine de la félicité, Doté de bonheur.
bde bar gshegs pa|Sughata, Parti en félicité, Parti en le bien-être.
bde bar gshegs pa'i snying po|Nature de Bouddha
bde gshegs snying po|Nature de Bouddha
bde 'gro|Existences heureuses
bde legs|Excellent bonheur,
bde sdug|Bonheurs et malheurs, Qualité de vie,
bden 'dzin|Saisir comme vrai, Saisir comme réel, Prendre pour vrai ou réel. Saisir comme une réalité, Tenir pour vrai,
bden par 'dzin pa|Saisir comme vrai, Saisir comme réel, Prendre pour vrai ou réel. Saisir comme une réalité, Tenir pour vrai,
bden grub|Exister réellement, Avoir une existence en soi, Etre en  soi, de soi, par soi, Etre vraiment.
bden med|sans existence réelle, absence de réalité
bden par ma grub pa|sans existence réelle, absence de réalité
bden pa|Vérité, réalité, Vrai, fiable, réel,
bden pa bzhi|Les quatre réalités
bden pa gnyis|Les deux réalités
bden par zhen pa|S'attacher (à quelque chose) comme étant vrai ou réel Prendre pour vrai ou réel. Saisir comme une réalité, Tenir pour vrai,
bden 'dzin|S'attacher (à quelque chose) comme étant vrai ou réel Prendre pour vrai ou réel. Saisir comme une réalité, Tenir pour vrai,
bden tshig|Paroles de vérité, Paroles de réalité,
bdud|Nuisances, Obstacles, Démons,
bdud rtsi|Amrita, Ambroisie, nectar, élixir, Médecine à démons, Remède aux démons
be con|Massue,
bem po|Inanimé, Inerte,
bka'|Parole (honorifique) Parole du Buddha
bka' 'gyur|Le Kangyour La traduction des paroles du Bouddha.
bkod pa|Placer, disposer, arranger. Disposition, arrangement.
rnam par bkod pa|Placer, disposer, arranger. Disposition, arrangement.
bkra ba|Brillant, scintillant
bkra shis|Propice
bla brgyud|Transmission de lama à lama, Transmission continue, Continuité de lama à lama,
bla ma|Lama, Gourou, Maître, Père-Mère de bonté
bla ma'i rnal 'byor|Yoga du lama, Yoga du maître, Pratique d'union au (qualités du) maître
bla med kyi rgyud|Anuttaratantra Tantra insurpassable
bla na med pa|Sans supérieur, Insurpassable,
bla med|Sans supérieur, Insurpassable,
blang dor|Accepter et rejeter, Adopter et refuser, Prendre et abandonner, Cultiver et éliminer, Suivre et éviter, Faire et ne pas faire,
spang blang|Accepter et rejeter, Adopter et refuser, Prendre et abandonner, Cultiver et éliminer, Suivre et éviter, Faire et ne pas faire,
blo|Intellect, Intellection, Intelligence, Compréhension, Mentalisation, Connaissance, Mentalité,
blo bur|Adventice, Accidentel, Contingent,  Soudain,  Fortuit,
blo gros|Intelligent, Avisé, Sage,
blo las 'das pa|Au delà de l'intellect, Transcendant l'intellection, Au delà de l'esprit, Transcendant l'intelligence,
blo ldog pa|Renverser la mentalité, Révolutionner, inverser, convertir, transformer, retourner (la mentalité, l'état d'esprit)
blo ldog rnam bzhi|Les quatre notions qui renversent la mentalité, Les quatre inverseurs de mentalité, Les quatre idées fondamentales, Les quatre notions qui révolutionnent la mentalité, Les quatre convertisseurs de mentalité
blo sbyong|Lodjong, Entraînement de l'esprit, Apprentissage spiritual,
blo 'byong ba|Lodjong, Entraînement de l'esprit, Apprentissage spiritual,
blo sna stung ba|Perspectives à court terme, Avoir des desseins limité (à l'important au présent), Ne voir pas plus loin que le bout de son nez,
longs med blo sna bstung ba|Perspectives à court terme, Avoir des desseins limité (à l'important au présent), Ne voir pas plus loin que le bout de son nez,
blo stobs|Force d'esprit, Courage, Vaillance,
blos btags|Désignations de l'intellect (intellection),
blun po|Imbécile, Stupide, Idiot,
'bod pa|Appeler (demander à qq de venir)
bogs 'byin pa|Progresser dans la pratique,
bogs dbyung|Progresser dans la pratique,
bogs 'don pa|Amplifier, Faire progresser,
'bol le ba|En douceur, Tout en douceur, Tout détendu, Relaxé,
bral ba|Etre séparé, Etre libre de, Etre dépourvu de, Etre denué de,
'bral ba|Etre séparé, Etre libre de, Etre dépourvu de, Etre denué de,
bram ze|Brahmane
'bras bu|Fruit,  Résultat, Conséquence,
'bras bu'i theg pa|Le véhicule du fruit (ou du résultat),véhicule résultant
brda brda'|Symbole, Signe,
'brel ba|Connecté, Lié, Interconnecté, Relier,
brgyud pa|Lignée Etre transmit
bri zad med pa|Sans augmentation ni diminution, Sans accroissement ni décroissance
'bring|Médian Intermédiaire, Du milieu,
brjod bral|Indicible, inexprimable,
brjod med|Indicible, inexprimable,
brjod las 'das pa|Indicible, inexprimable,
brjod du med pa|Indicible, inexprimable,
smra bsam brjod med|Indicible, inexprimable,
brnab sems|Convoitise, Possessivité
brtags pa|Le pensé, le conçu,  Etre pensé, conçu,  Etre examiné, Considéré, Investigué.
brtag pa|Le pensé, le conçu,  Etre pensé, conçu,  Etre examiné, Considéré, Investigué.
brtan pa|Stable, fixe,  La stabilité. Ce a quoi l'on peut se fier.
brtse ba|Amour, Compassion, Merci, Bonté bienveillante, Aimer, Compatir,
brtsegs pa|Empiler Amonceler, Superposer,
brtson pa|S'efforcer de, Faire des efforts, Avoir de la diligence, Mettre de l'énergie à,
brtul zhugs|Activité disciplinée, Discipline yogique spéciale, Ascèse yogique particulière.
bsags pa|"Pratiquer, Développer, Faire, Fabriquer, Instaurer, Installer,  (différent de ""tshogs pa"") "
bsags sbyang|Le Développement-dévoilement
bsam byung|Ce qui vient de la pensée, Ce qui vient à la pensée, certitude,  conviction
bsam gtan|Méditation (stablilisatrice), Stabilité, Pensée stable, Stabilité de l'esprit, de la pensée, Pratique de la stabilité,  Stabilisation, Rester tranquille (chiné),
bsam gtan bzhi|Les quatre (degrès) de stabilité, Les quatre niveaux de méditation (ou d'absorptions méditatives) constituant les degrès de l'état (ou monde) de la (simple) forme.
bsam med|Sans pensée, Dépourvu de pensé, Impensable,
smra bsam brjod med|Sans pensée, Dépourvu de pensé, Impensable,
bsam pa bzang po|Bon esprit, Bonne intention, Intention supérieure,
lhag pa'i bsam pa|Bon esprit, Bonne intention, Intention supérieure,
bsam pa|Ce qui est pensé, La pensée, L'esprit,
sems pa|Ce qui est pensé, La pensée, L'esprit,
bsam pa'i las|L'activité de l'esprit pensée (du coté de ce qui est activé par l'esprit)
sems pa'i las|L'activité de l'esprit pensée (du coté de ce qui est activé par l'esprit)
bsam sbyor|L'intention (la pensée) et sa mise en pratique (son application) Intention et application, Motivation et pratique,
bsang|Fumées d'offrande, Offrande de fumigation, Purifier, Abandonner, Dissiper, Enlever, Evacuer,
bsangs sbyangs|Purification et évacuation
bsdu ba'i dngos po bzhi|Les quatre choses qui regroupent (les disciples)
bse ru|Rhinocéros Licorne, Unicorne,
bse ru lta bu|Les Bouddha personnel (qui sont solitaires comme les rhinocéros),
bshad grwa|Collège d'étude (du Dharma)
bshad rgyud|Tantra explicatif, Explication, commentaire (de vajradhara) d'un tantra racine. Deuxième partie du Gyuchi (les quatre tantra base de la medecine traditionnelle)
bshad|Explications, Exposé, Etudes Expliquer, Exposer, Etudier,
bshad pa|Explications, Exposé, Etudes Expliquer, Exposer, Etudier,
bshags pa|Dévoiler, Exposer, énoncer ses fautes sans les cacher, Confesser, Fragmenté, Cassé, brisé, en morceaux, Fendre (du bois, faire du petit bois)
bshes gnyen|Professeur, Ami (de bien) Ami (de vertu) Le soleil
dge ba'i bshes gnyen|Professeur, Ami (de bien) Ami (de vertu) Le soleil
bskal pa|Kalpa, éon,
bskul ba|Inciter à,
bskyed pa|Développer, générer
bskyed rim|Phase de génération
bskyong ba|Protéger, cultiver
bskyangs ba|Protéger, cultiver
skyong ba|Protéger, cultiver
bslab bya|Ce qui est à étudier, Instructions, Conseils, Injonction, Engagements, Enjoindre, Instruire,
bslab pa|Etudier, Apprendre, Ce qui est apprit, Ce qui est enseigné, Ce qui est donné comme enseignement, Apprentissage, Etudes,
bslab pa gsum|Les trois apprentissages, Les trois instructions,
bslab gsum|Les trois apprentissages, Les trois instructions,
yang dag pa'i bslab pa gsum|Les trois apprentissages, Les trois instructions,
bslab par bya|Ce qui est étudié,
bslad pa|Altérer, Corrompre, Souiller, Altéré, Corrompu, Souillé,
bslu ba|Tromper, Etre trompé, Illusionner,
bslu med|Inéluctable, Qui ne trompe pas, Auquel on peut se fier, Sans erreur, Parfait, Que l'on ne peut tromper,
bslu ba med pa|Inéluctable, Qui ne trompe pas, Auquel on peut se fier, Sans erreur, Parfait, Que l'on ne peut tromper,
mi bslu ba|Inéluctable, Qui ne trompe pas, Auquel on peut se fier, Sans erreur, Parfait, Que l'on ne peut tromper,
bsngo ba|Dédicace Dédier
bsnyen bkur|Services et honneurs
bsnyen pa dang bkur sti|Services et honneurs
bsnyen pa|(Pratique de) familiarisation (avec une déité)
bsod nams|Vertus, Bienfaits,
bsod nams kyi tshogs|Domaine de vertu
bsod snyoms|Mendier, Aumônes,
bsreg pa|Brûler, Consumer Se brûler, Se consumer, Etre brûlé, Etre consumé,
bsrung ba|Protéger, Garder, Se protéger, Etre protégé, Arrêter ce qui est nuisible,
srung ba|Protéger, Garder, Se protéger, Etre protégé, Arrêter ce qui est nuisible,
bstan bcos|Traité (commentant la parole du Bouddha)
bstan 'gyur|Tengyour,
bstan pa|Enseignement, Exposé, «Ce qui est montré»
btags pa|Désignation
btang bzhag med pa|Sans rien éliminer ni positionner
btang snyoms|Equanimité,
btsun mo|Reine, Princesse, Seigneuresse, Noble dame, Maîtresse
btsun pa|Hon.: Moine, «Personne qui a abandonnée les activités négatives du corps, de la parole et de l'esprit.»
btsun ma|Hon.:Moniale, «Personne qui a abandonnée les activités négatives du corps, de la parole et de l'esprit.»
bum pa bzang po|Vase d'abondance,
bum pa can|Koumaka, Respiration vase,
bya ba|Actes, Actions, Activités, Ce qui est fait, Ce qui est à faire,
bya ba'i rgyud|Tantra des activités
bya bral|Libre d'action, Sans activité, Non agir,
byar med|Libre d'action, Sans activité, Non agir,
bya mi dgos|Libre d'action, Sans activité, Non agir,
bya lam|Le chemin de l'oiseau (dans le ciel)
bya rtsol|Faire effort en une activité, Activités et efforts
byad ka|Influence nuisible,
byams chos sde lnga|Les cinq enseignements de Maitreya,
byams pa|Maitreya, L'aimant, Amour, Amour bienveillant, Bienveillance, Bonté, Gentillesse,
mtha' yas|Illimité, Inombrable, Amplifier, Diffuser, Englober,
tshad med|Illimité, Inombrable, Amplifier, Diffuser, Englober,
byang chub kyi phyogs chos sum cu rtsa bdun|Les 37 choses Dharmas, qualités) qui vont dans la direction de l'éveil (qui conduisent à l'éveil).
byang phyogs kyi chos sum cu rtsa bdun|Les 37 choses Dharmas, qualités) qui vont dans la direction de l'éveil (qui conduisent à l'éveil).
byang phyogs kyi chos so bdun byang phyogs so bdun|Les 37 choses Dharmas, qualités) qui vont dans la direction de l'éveil (qui conduisent à l'éveil).
byang chub kyi phyogs dang mthun pa'i chos|Les 37 choses Dharmas, qualités) qui vont dans la direction de l'éveil (qui conduisent à l'éveil).
byang chub kyi sems|Le cour esprit éveillé, Le Coeur esprit de l'éveil, L'esprit d'éveil
byang sems|Le cour esprit éveillé, Le Coeur esprit de l'éveil, L'esprit d'éveil
byang chub mchog tu sems bskyed pa|Développer le cour esprit du suprême éveil,
sems bskyed|Développer le cour esprit du suprême éveil,
bla med byang chub sems bskyed pa|Développer le cour esprit du suprême éveil,
