bsgrub pa bka' brgyad|huit préceptes transmis (Nyingma)
mi slob pa'i zung 'jug|union non-étudiant (pas vraiment clair par rapport à l'étude et au niveau d'accomplissement de la non-étude.)
slob pa'i zung 'jug|union d'un étudiant (pas vraiment clair par rapport à l'étude et au niveau d'accomplissement de la non-étude.)
a chu zer ba|Gémissements de froid (hahava)
a lam bu sha|alambusha, pour le souffle lézard
bad kan|phlegme
bag chags|tendances, prédispositions, imprégnations
bag chags bcom|destruction des imprégnations (chez un bouddha)
bag la nyal|latence
'bar ba|embrasement
bar bskal|période cosmique intermédiaire
bar do|état intermédiaire, entre-deux
bcud len|élixir (un des huit siddhis) extraire la quintessence
bdag|soi
bdag byin brlabs|auto-consécration
bdag 'dzin lhan skyes|saisie innée d'un soi
bdag gi de kho na nyid|ainsité de soi (nature de bouddha)
bdag gtod|assurance
bdag gzhan brje ba|échange de soi pour autrui
bdag nyid can|possédant la nature, incarnation de (shes rab thabs kyi..)
bdag tu zhen pa|fixation à un soi
bde chen sku|corps de grande félicité
bde gshegs|allé en la joie / bien allé
bde stong lhan skyes ye shes|sagesse originelle de félicité et de vacuité coémergentes
bden gnyis dbyer med|indivisibilité/inséparabilité des deux vérités
bden mthong ba|1. Vision de la vérité = Joyeuse
bden par ma grub pa|inexistence/non-existence réelle
bder gnas|...de bien-être
bdud bral|l'affranchie des démons
bdud bzhi|quatre démons
bdud rtsi rnam dag|nectar immaculé
bem po|matière
bem po bems|matière
bka' bab|transmission
bka' ma|préceptes (Nyingma)
bkod ba|organisation, disposition
blo|intelligence, esprit buddhi (awareness chez Hopkins)
blo bur dri ma|taches adventices
bogs 'don|amplification, accroissement
bral|disjonction, libre/séparé de/ affranchi de
'bras bu la rgyu'i phyag rgya|sceau de la cause sur le résultat
'bras bu rnam grol|(de la) libération qui est le fruit [des points précédents]
brda ba|signe, expression
brdzu bag|feinte, déguisement (sens non trouvé pour brdzu bag, trouvé pour brdzu seulement)
brgal lan|réponse aux objections/arguments
brjed byang|notes exégétiques, mémoradum (pindathavrtti) Note: Skt non trouvé...
brjod bya|thème, contenu
brtan pa|l'inanimé  (opposé de g.yo ba)
brten gzhi|2.Base d'appui
brten pa|supporté, contenu
brtsan sa zin|adopter une position stable/ferme (smad chad 639)
brtson 'grus|persévérance/diligence (une des six - ou dix - perfections)
brtson 'grus chog mi shes|insatisfaction
brtson 'grus sbyor ba|application
brtul zhugs|comportement, attitude délibérée (pas forcément ascétique)
bsags mtha'|accumulation finalen (autre nom du 4ème recueillement)
bsags pa'i las|action accumulée
bsam gtan|méditation/concentration (terme général, une des six - ou dix - perfections); recueillement (quatre);
bsam pa|veut dire aussi contemplation (ex. dans tantra de l'action, tantra de bsam pa de la déité)
bsam pa las byung ba'i shes rab|sagesse née de la réflexion
bsam pa'i las|action après l'avoir voulue (cetayitrakarma)
bsdu ba'i dngos po bzhi|quatre moyens de rassemblement/d'attraction
bsdus 'joms|destruction en masse (samghata)
bshad rgyud|tantra explicatif, exégétique
bskal pa|période cosmique, âge
bslab pa rgyud|4. Continuité de l'entraînement
bsnyel med|absence d'oubli (cher au Bouddha)
bsnyen pa|approche (asevita)
bsnyen sgrub|approche/familiarisation et accomplissement
bsod nams|méritoire
bsod nams min pa|déméritoire
bsod nams rten|5. Support du mérite
bsten|service (du maître)
btags pa|nominal, désigné
btags yod|existence désignée, nominale
bu'i 'od gsal|.de l'enfant
bum pa can|"respiration du vase, garder le souffle du vase; aussi: rétention en forme de vase"
bya ba|Activité, en particulier: l'objet créé, agi
bya ba grub pa'i ye shes|.d'accomplissement des activités
byang chub sems lnga|cinq esprits d'éveil (dans le mahayoga)
byang chub yan lag bdun|sept facteurs d'éveil
byang phyogs|37 facteurs orientés vers l'éveil
byang chub phyogs yan lag so bdun|37 facteurs orientés vers l'éveil
byang chub phyogs gyi chos yan lag so bdun|37 facteurs orientés vers l'éveil
byas pa'i las|action commise (effectuée)
byed pa|activité
'byed pa'i shes rab|.de discernement
byed po|créateur, agent
byin rlabs|bénédiction, influence spirituelle, consécration, vagues de magnificence (splendeur, pouvoir de transformation).
byol song|les bêtes
'byung ba ma nges|1.Incertitude de la transformation
'byung 'gyur|dérivé des éléments
bzhed srol|tradition, système
bzo ba'i sprul sku|corps d'émanation d'artisan
bzod pa|patience (une des six - ou dix - perfections), acceptation (sbyor lam)
ca co mi mnga' ba|pas de rudesse de parole
cha lugs|habillement attributs
chad mtha'|extrême et anéantissement/annihilation
chad par smra ba|nihiliste  (ucchedavadin)
chags pa|passion
'char yang|potentiel de manifestation
'chi bdag gi bdud|démon du seigneur de la mort
'chi med|immortalité/mercure
dngul chu|immortalité/mercure
