'bras bu| Fruit
'bras bu'i bon|bön du Fruit (Bön)
'bras bu'i rdo rje 'dzin pa|détenteur adamantin du fruit
'bras bu'i theg pa| véhicule du Fruit
'bru gsum|" les trois ""graines"" O?  A? HU?"
'byin pa'i rlung|souffle d'expulsion du nouveau né
'byor 'brel| lien
'byor ba bcu| dix conditions favorables
'byung ba bsdus|condensation des éléments
'byung ba chen po bzhi|quatre grands éléments
'byung ba 'jig|destruction des éléments
'byung ba lnga yi 'khor lo|roues des cinq éléments
'byung ba lnga'i g.yar po|emprunt aux cinq éléments
'byung ba thim tshul|mode de dissolution des éléments
'byung ba'i sa bon gyi cha|partie séminale des éléments
'chab pa|dissimulation
'char gzhi|Base d'émergence
'char gzhi|Base d'émergence
'char lugs brgyad|huit modes d'émergence de la Base
'chi ba|mort
'chi ba 'od gsal|claire lumière de la mort
'chi ba chos sku lam khyer|prendre la mort comme voie du Corps absolu
'chi ba rjes dran|rappel de la mort
'chi ba'i rtags brtag pa|examen des signes de la mort
'chi bar sems pa'i dgra bcom pa|arhat de nature volontaire
'chi bdag gi bdud|démon du Seigneur de la mort
'chi bslu|tromper la mort
'chi kha dus kyi bar do|bar do du temps ou du moment de la mort
'chi kha sdug bsngal gyi bar do|état intermédiaire douloureux du moment de la mort
'chi kha'i 'od gsal|claire lumière du moment de la mort
'chi kha'i bar do|bardo douloureux du moment de la mort
'chi kha'i bar do la 'od gsal ngo sprad pa|présentation de la claire lumière lors du bar do du moment de la mort
'chi kha'i bar do|état intermédiaire du moment de la mort
'chi kha'i dus|moment de la mort
'chi rtags|signes précurseurs de la mort
'chi srid|existence de mort
'dags byed don gyi rlung|souffle qui produit le mouvement vers le haut
'di skad bdag gis thos pa|"Ainsi ai-je entendu"
'dod chags|avidité, désir-attachement
'dod chags kyi khams|tempérament concupiscent
'dod chags kyi sred pa|soif des plaisirs des sens
'dod chags med pa|non-attachement, désintéressement
'dod khams|domaine du désir
'dod pa'i khams|domaine du désir
'dod pa|désir
'dod pa'i lha|dieux du domaine du désir
'dod yon lnga|cinq stimulants des sens
'dod yon sna lnga|cinq objets qui réjouissent les sens
'du bral med pa|au delà de toute réunion ou séparation
'du byed|facteurs de composition, formations karmiques
'du byed dang bcas 'da' ba|ceux qui passent au-delà avec effort
'du byed kyi phung po|agrégat des formations karmiques
'du byed kyi rkyen gyis rnam par shes pa|conscience conditionnée par les facteurs de composition
'du byed med par 'da' ba|ceux qui passent au-delà sans effort
'du shes|représentations mentales, notions, perception
'du shes med|sans perception
'du shes med 'du shes med min gyi skye mched|sphère où il n'y a ni représentations mentales ni absence de celles-ci
'du shes med 'du shes med min gyi snyoms 'jug|égalisation de la sphère sans perception ni non-perception
'du shes med pa|non-perception, inconscient
'du shes med pa'i snyoms 'jug|l'égalisation sans perception
'du shes phung po|agrégat des perceptions
'dul ba|discipline
'dul ba gshen rab drug|les six suprêmes gshen qui disciplinent [les êtres] (Bon)
'dul ba'i sde snod|corbeille de la discipline
'dun pa|l'intention, résolution ferme
'dun pa'i stobs|force de la résolution
'dun sa|concile religieux monastique
'dur bon|Bon des rites funéraires (Bon)
'dus byas kyi chos|phénomènes composés
'dus byas stong pa nyid|vacuité des phénomènes composés
'dus ma byas|incomposé
'dus ma byas kyi chos|phénomène incomposé
'dus ma byas stong pa nyid|vacuité des phénomènes incomposés
'dzin|prise, saisie, croyance
'dzin pa|rétention
'dzin pa|sujet "préhenseur"
'gags med|sans obstacles, inobstrué, incessant
'gal ba|contradiction
'gal ma'i 'khor lo|phosphène
'gal rtags|raison contradictoire
'go ba'i lha lnga|les cinq dieux tutélaires d'un individu
'gog pa|cessation, arrêt
'gog pa'i bden pa|vérité de la cessation
'gog pa'i snyoms 'jug|égalisation de la cessation
'gog pa'i snyoms 'jug|sérénité de la cessation
'gro ba|destinée du sa?sara
