Tibétain,Sanskrit,Anglais,Sens racine Français,"Autres termes rencontrés",Definition,Ordre alpha tib
Ka ,,,"Alpha, premier
",,,1
"ka dag 
= gdod nas dag pa
= ka nas dag pa ",ādiśuddha,primordial purity (SL MW),"Alpha pur 
","pur depuis l'origine, pureté primordiale, pur depuis toujours, originellement pur, pur depuis toute origine, depuis l’origine, pur ab initio, pur de toute éternité, pureté originelle, pur à jamais.
","(RY) ka dag : 
Primordial purity [thd]. primordial purity, primordially pure; *; originally pure, pure from the beginning / first. Primordial purity. The basic nature of sentient beings which is originally untainted by defilement and beyond confusion and liberation",2
kun khyab ,samantagata,,"Omniprésent 
Présent partout","tout embrassant, tout englobant, omniprésent, qui embrasse et pénètre tout, omnipénétrant, qui embrasse tout, qui imprègne tout, qui englobe tout.

","(RY) kun khyab :
All pervading; 
1) all-pervading, all-pervasive, all-permeating, widespread, omnipresent factor, universal, embracing all, all-encompassing. Syn {kun tu khyab pa}. 
2) the sky. 
3) epithet of the lord of Death. 
4) the ultimate reality or the wisdom of a Buddha. / poet, sky, firmament (lit. all-embracing). Epithet of the Lord of death. universally, generally.",3
kun mkhyen ,sarvajñāna,,"Omniscient 
Connaissant tout
","omniscient, omniscience, 
la connaissance simultanée de tous les phénomènes relatifs et ultimes
l'Omniscient, celui qui a tout comprit.
","(RY) kun mkhyen :
 Thoroughly trained (scholar). sagacious. 
1) omniscient, all-knowing, learned. 
2) omniscience, the state of being all-knowing. 
3) thoroughly versed. 
4) the Omniscient One. [Buddha]. epithet of Buddha on highest order of Buddhas and Bodhisattvas, knower of all things. 1) omniscient 2) Longchenpa, etc

épithète du Bouddha",4
kun 'gro lnga ,pañca sarvatraga,,"Les cinq facteurs omniprésents 
",les cinq facteurs (mentaux) omniprésents,"Les cinq facteurs mentaux omniprésents sont : (1) sems pa : activité mentale / « mentation » ; (2) tshor ba : sensation ; (3) ‘du shes : perception / nomination / conception ;  (4) yid la byed pa : fait mental / représentation / attention à ; (5) reg pa : contact.

→ UV2 2 
",5
"kun rtog 
= kun tu rtog pa
= rnam rtog","parikalpa, vikalpa, saṃkalpa",,"(Toute) la conceptualisation, conception (de tout); 

","La conceptualisation de tout ; ce qui pense tout ; le penser, le concevoir, la conception de tout,

Les concepts, les pensées discursives, les conceptions ","(TDC) : kun rtog 
1) kun tu rtog pa ste rtog dpyod byed pa,...
2) sems kyi rnam par rtog pa

NB : On remarquera que kun rtog et kun brtags (voir ci-dessous) sont des formes symétrique : kun rtog, abréviation de kun tu rtog pa est le terme exprimant l’action du point de vue d’un sujet, c’est l’action ou activité de conceptualisation (ou de conception) alors que kun brtags exprime l’action du point de vue d’un objet, c’est ce qui conceptualisé (ou conçu).

(RY) kun rtog : 
1) thought, conceptualization, discrimination, analytical thought, discursive thought. 
2) thinking, conceptual / discursive thought, concept, fiction, misconception. See {kun tu rtog pa}. Syn {rnam rtog}; fancy, illusory associations",6
"kun brtags 
= kun btags
= kun tu brtags pa ","parikalpita, parikalpanā","conceptualization (SL MW)
imaginaries (SL MW)","(Tout) le conceptuel, ce qui est conceptualisé, 

Le fait d’être conceptualisé, les concepts,

Les caractéristiques ou concepts conçues, imputées, affixées par conceptualisation","Toutes les conceptualisations, conceptions ;
Ce qui est posé dessus, surimposé, imputé, càd les concepts, L’imagination(s), 
Dans les trois nature des cittamatra kun brtags est (la nature) conceptuelle (des phénomènes habituels), les fabrications conceptuelles, les imputations (faite sur la réalité foncière), les concepts superfétatoires
","(TDC) : kun brtags 
kun tu brtags pa'i mtshan nyid kyi bsdus ming,

La caractéristique de ce qui est imputé sur tout.

→ MCV p 203

NB : brtags pa est synonyme de btags pa qui a le sens de ce qui est dénomé, une dénomination, ce qui est labellé, nommé, 

(RY) btags pa : denomination [ggd]. labelled; named, they called him [name]; 
1) p. of {'thag}. 
2) p. of {'dogs} wearing, touch. 
3). to fix, hang; tied [mss]. tied x {dbu skra rnams tsam pa ka'i lo ma la btags nas} tied his hair to a campaka tree.

(RY) brtags pa : part, segment, section/ examined; deliberation, imagination; [pf. of {rtog}, investigate, inquire, examine. x {rang rgyud la zhib tu brtags nas} examine your mind minutely.",7
kun btus ,samuccaya,,"Abrégé, résumé, compendium
",compilation unifiée ,"(TDC) : kun btus, 
1) kun las btus pa ste phyogs thams cad las bsgrugs pa,...
2) btu gzhi rtsom pa rnams las
rtsom gsar pa bsduspa,...chos mngon pa kun btus,...bslab pa kun btus,...tshad ma kun btus,...mdo kun btus,…
",8
kun spyod ,saṃcaryā,,(Toutes) les activités ou comportements,"tenue, conduite, comportement","(TDC) : kun spyod, 
kun tu spyod pa ste, lus ngag yid gsum mam de gsum gang rung gi bya spyod dam spyod lam,...rtogs pa lha dang mnyam yang, kun spyod mi dang mthun dgos,...
",9
kun 'byung ,samudaya,origin (SL BP),L’origine (de tout),"origine, source ","(TDC) : kun 'byung : sems can las kyi bag chags bsags pa de dang de dag lha la sogs pa'i sems can gyi rigs drug po de dang de'i nang phan tshun cha byad dang rigs 'dra bar 'byung bas na kun 'byung ngo,...

Définition: par Jamgön Kongtrül : sems can las kyi bag chags bsags pa de dang de dag lha la sogs pa'i sems can gyi rigs drug po de dang der nang phan tshun cha byad dang rigs 'dra bar 'byung ba'i byed rgyu yin pa'i phyir kun 'byung ba'i mtshan nyid can.
",10
