Tibétain,Sanskrit,Anglais,Sens racine Français,Autres termes rencontrés,Definition,Ordre alpha tib
KA,,,,,,
"ka ti, 
ka ti shel sbug, ka ti shel gyi sbu gu can, 
rtsa ka ti",,,"Kati, le tube de cristal (reliant le cœur et les yeux) une nervure ou un canal cristallin et translucide reliant le cœur et les yeux",,,
"ka dag, 
ka nas dag pa",,,"‘alpha pur’, l’état ‘alpha pur’, l’état 
originellement pur, la pratique de l’alpha pur, l’alpha pureté 
pureté primordiale",,,
"ka dag khregs 
chod",,,"l’expérience alpha pur, l’expérience 
primordialement pure, l’expérience 
d’instantanéité dans laquelle la solidité de la 
saisie est suspendue, l’alpha pureté en la suspension de la dureté",,,
,,,,,,
,,,,,,
ka dag chen po,,,"l’immensité alpha pur, la grande pureté primordiale 
l’expérience alpha pur totale, état de pureté primordiale total",,,
ka dag gi lam,,,"la voie de l’alpha pur, voie de la pureté primordiale",,,
"kun khyab, 
kun la khyab pa",,,"omniprésent, présent partout, tout embrassant",,,
kun mkhyen,,,"omniscient, connaissant tout",,,
"kun tu snang ba’i ting nge ‘dzin
kun brtag ma rig pa, 
kun tu btags pa’i ma rig pa",,,"samantabhava-samâdhi, prabhâsa-samâdhi, samâdhi de la luminosité omniprésente 
état de contemplation qui tout illumine
la non intelligence qui conçoit toute chose, l’inintelligence conceptuelle 
ignorance qui tout conceptualise",,,
,,,,,,
kun ‘dus pa,,,"tout résumé 
tout englobant, être complètement embrassé au sein de (ou englobé en)",,,
kun byed rgyal po,,,"le roi qui fait tout, le roi qui tout créé",,,
kun ‘byung,,,"source de toute chose, l’origine (de tout)",,,
"kun ‘byung nor bu, 
‘dod ‘byung nor bu",,,"le joyau qui pourvoit à tout besoin, le joyau d’abondance ; 
la gemme à souhaits",,,
"‘dod yon lnga, 
‘dod pa’i yon tan lnga",,,"le vécu des cinq sens, les plaisirs des cinq sens les cinq plaisirs sensoriels, les cinq gratifications sensorielles",,,
kun rdzob,,,"relatif, d’enveloppement 
(tout) l’illusoire",,,
kun rdzob bden pa,,,la vérité relative,,,
"kun gzhi, 
kun gyi gzhi",,,"âlaya, fond universel, fond de tout 
base de tout",,,
"kun gzhi rnam 
shes",,,"âlaya vijñâna, fond universel duel, conscience fond universel 
conscience fondamentale, conscience réservoir",,,
,,,,,,
,,,,,,
,,,,,,
"kun bzang, 
kun tu bzang po, kun tu bzang mo",,,"Samantabhadra, (Le) Tout Bon, le toujours bon ; Samantabhadri, Samantabhadrâ, Toute Bonne, la toujours bonne",,,
"kun bzang 
dgongs pa",,,"l’esprit de Samantabhadra 
l’esprit de sagesse du Tout Bon, l’état primordial de Samantabhadra, l’intention éveillée du Tout Bon",,,
ke ta ka,,,le joyau Kétaka,,,
khyed mkhyen no,,,"« Précieux (Lama) je m’en remets à vous », « Veuillez m’entendre (ou penser à moi, me prendre en compte, en considération) »",,,
klong,,,"sphère 
immensité, étendue, vastitude, milieu",,,
klong chen,,,"la grande immensité, l’immense sphère 
l’étendue immense",,,
klong sde,,,"la collection de l’Immensité 
(une des trois séries de textes et d’enseignements du Dzogchen), la catégorie (ou série) de l’Espace",,,
dkar ‘jam rtsa’i sgron ma,,,"la luminosité du doux tube blanc 
la lampe du canal blanc souple (ou tendre, soyeux)",,,
"dkar po chig 
thub",,,"1.le remède universel, la panacée 
la panacée universelle, la panacée blanche 2. l’enseignement du Mahâmudrâ",,,
dkar lang lang,,,bouillonnement blanchâtre scintillant,,,
dkyil yangs po,,,"dimension infinie (de), vastitude infinie",,,
bka’,,,"vacana, verbe, injonction, parole (du Bouddha), précepte",,,
"bka’ rtags kyi 
phyag rgya bzhi, chos kyi sdom 
bzhi",,,les quatre sceaux du dharma,,,
bka’ babs,,,"filiation 
transmission orale",,,
bka' ma,,,"tradition orale, tradition continue 
(une tradition orale dont la transmission n’a pas été interrompue et est continue)",,,
,,,,,,
,,,,,,
rkyen,,,"pratyaya, circonstance(s), facteurs, conditions, aléas 
cause secondaire, condition secondaire, circonstanciel",,,
rkyen du ma la bsam pa,,,la considération de tous les aléas,,,
skar ma,,,étoiles (signe de claire lumière),,,
sku,,,"kâya, Corps, corps éveillé",,,
sku dang gdung,,,corps et reliques de celui-ci,,,
sku gsum,,,"le trikâya, les trois corps, les trois dimensions",,,
sku gsung thugs,,,"corps, voix et esprit ; corps, parole et esprit éveillés",,,
